ds,yhat,yhat_lower,yhat_upper
2024-06-10,62675.154036066706,57085.75245983723,68106.24082653987
2024-06-11,62574.92298539139,57035.01821242599,68008.00165880893
2024-06-12,62599.37050919304,57185.029464823754,68213.55103469834
2024-06-13,62479.57499928529,57191.52267699472,68054.57830838843
2024-06-14,62405.24551240133,56333.004114012474,68004.88449317183
2024-06-15,62334.36147636839,56747.31725081186,68435.81345158555
2024-06-16,62274.16406474411,56869.59537488433,68136.42328946311
2024-06-17,62280.97910392382,56701.75934976638,67888.17999110525
2024-06-18,62136.67743822587,56387.96101111764,67667.19139608482
2024-06-19,62124.94312956424,56231.22414704794,67447.58100682704
2024-06-20,61977.87171011808,56558.414951586645,67658.83652628092
2024-06-21,61885.98357891833,56540.622013764856,67927.69162090991
2024-06-22,61807.848177078136,56120.00424320458,67257.68746010454
2024-06-23,61751.06582748847,56200.88848267954,67299.27379537342
2024-06-24,61772.087214751446,56169.16938496702,67537.71806573575
2024-06-25,61652.67637031175,56297.07648864464,67326.29398863444
2024-06-26,61676.187312035974,56101.86291602526,67175.38479811193
2024-06-27,61574.176172819585,56119.31992390598,67141.12713909456
2024-06-28,61536.43338345113,55520.38144479067,67099.09571601347
2024-06-29,61520.630895411996,55848.95334788045,67218.24582659555
2024-06-30,61533.33057864456,56203.79158927758,67860.36294417703
2024-07-01,61629.83294178186,56411.717612473345,67476.85498466204
2024-07-02,61590.67115984296,56637.40363902622,67491.62808956581
2024-07-03,61697.91965390354,55994.90879253835,67216.77937228589
2024-07-04,61681.838154703,56490.67800736314,67610.1179178049
2024-07-05,61730.934941123676,55940.65100538477,67576.06613180363
2024-07-06,61801.64341804023,56394.12534908944,67315.17868533873
2024-07-07,61899.35742302492,56436.71296580534,67665.18296679459
2024-07-08,62078.30375925733,56060.509441815186,67990.21393135266
2024-07-09,62118.05640125761,56818.246701407996,67464.06374101844
2024-07-10,62299.86120394221,56811.265146905236,67915.73424596817
2024-07-11,62353.291765832415,56525.91732896552,67935.02563790971
2024-07-12,62466.31999339432,57111.150901572924,68113.71418841156
2024-07-13,62594.995524199345,57120.041208750226,68449.36419396308
2024-07-14,62744.47952454415,57491.21975204174,68462.43872239039
2024-07-15,62968.91160983371,57175.08853100557,68763.14351030269
2024-07-16,63047.91469836142,57014.04645187264,68170.96491051682
2024-07-17,63262.90709109103,57097.68783622946,69279.36384265195
2024-07-18,63343.74297095117,57825.49997747276,68788.0039030841
2024-07-19,63478.765472267856,57668.928909239345,69126.55263935495
2024-07-20,63624.4671217421,58197.69573469757,69078.41783467492
2024-07-21,63786.50382879563,58518.590144253794,69325.14785421606
2024-07-22,64019.541832720926,58450.42448898092,69777.36931941907
2024-07-23,64103.74305248847,58641.204098125214,69510.41695522581
2024-07-24,64321.05872372873,58601.40113483783,69841.71555334263
2024-07-25,64401.853047466335,58917.70847926764,69462.45331783433
2024-07-26,64534.941456509936,59262.83728363623,70741.24503524137
2024-07-27,64677.23866823801,58842.066544410045,70456.72637420068
2024-07-28,64834.762972217984,59020.62760749662,70334.32399061279
2024-07-29,65062.476328492194,59807.677171870244,70867.69114838196
